type,strategy,final_equity,total_return_pct,max_drawdown_pct,total_trades,win_rate_pct,avg_return_pct,profit_factor,timestamp,symbol,action,quantity,price,amount,commission,profit,return_pct,trade_type
TRADE,A73LSTMStrategy,,,,,,,,2025-11-19 19:30:00+00:00,AMD,BUY,427.0,223.48168011474607,95426.67740899658,0.0,0.0,0.0,OPEN
TRADE,A73LSTMStrategy,,,,,,,,2025-11-19 20:30:00+00:00,AMD,BUY,20.0,232.75631938934325,4655.126387786865,0.0,0.0,0.0,OPEN
TRADE,A73LSTMStrategy,,,,,,,,2025-11-20 14:30:00+00:00,AMD,BUY,1.0,228.38413927459715,228.38413927459715,0.0,0.0,0.0,OPEN
TRADE,A73LSTMStrategy,,,,,,,,2025-11-24 16:30:00+00:00,AMD,SELL,468.0,214.4726050720215,100373.17917370607,0.0,-4886.18224669645,-4.64204055654603,CLOSE
TRADE,A73LSTMStrategy,,,,,,,,2025-11-26 20:30:00+00:00,AMD,BUY,441.0,216.50320177459716,95477.91198259735,0.0,0.0,0.0,OPEN
TRADE,A73LSTMStrategy,,,,,,,,2025-11-28 14:30:00+00:00,AMD,BUY,22.0,216.9784301147461,4773.525462524414,0.0,0.0,0.0,OPEN
TRADE,A73LSTMStrategy,,,,,,,,2025-11-28 15:30:00+00:00,AMD,BUY,1.0,216.17804232788086,216.17804232788086,0.0,0.0,0.0,OPEN
TRADE,A73LSTMStrategy,,,,,,,,2025-12-04 18:30:00+00:00,NFLX,BUY,1.0,103.11152755737304,103.11152755737304,0.0,0.0,0.0,OPEN
TRADE,A73LSTMStrategy,,,,,,,,2025-12-09 15:30:00+00:00,NFLX,SELL,1.0,96.01696994018555,96.01696994018555,0.0,-7.0945576171874905,-6.880469900167036,CLOSE
TRADE,A73LSTMStrategy,,,,,,,,2025-12-09 18:30:00+00:00,NFLX,BUY,1.0,96.62829183197022,96.62829183197022,0.0,0.0,0.0,OPEN
TRADE,A73LSTMStrategy,,,,,,,,2025-12-10 16:30:00+00:00,NFLX,SELL,1.0,94.73761116027832,94.73761116027832,0.0,-1.8906806716918965,-1.956653311205849,CLOSE
TRADE,A73LSTMStrategy,,,,,,,,2025-12-15 14:30:00+00:00,NFLX,BUY,1.0,94.05199975204468,94.05199975204468,0.0,0.0,0.0,OPEN
TRADE,A73LSTMStrategy,,,,,,,,2025-12-16 16:30:00+00:00,NFLX,SELL,1.0,94.41276908493043,94.41276908493043,0.0,0.3607693328857522,0.3835849677166584,CLOSE
TRADE,A73LSTMStrategy,,,,,,,,2025-12-30 20:30:00+00:00,AMD,SELL,464.0,215.32000732421875,99908.4833984375,0.0,-559.1320890121383,-0.5565296700825797,CLOSE
